indicator_id,cartodb_id,iso,sub_nat_id,boundary,boundary_id,thresh,country,year,value,province,boundary_name,indicator_name,units
1,965993,MEX,,pra,24,30,Mexico,2009,19465.08917,,Protected Areas,Tree cover loss,hectares
1,965999,MEX,,pra,24,30,Mexico,2010,9299.349956,,Protected Areas,Tree cover loss,hectares
1,966005,MEX,,pra,24,30,Mexico,2011,11309.18317,,Protected Areas,Tree cover loss,hectares
1,966011,MEX,,pra,24,30,Mexico,2012,9379.287368,,Protected Areas,Tree cover loss,hectares
1,966017,MEX,,pra,24,30,Mexico,2013,14961.01163,,Protected Areas,Tree cover loss,hectares
1,966023,MEX,,pra,24,30,Mexico,2014,8411.336877,,Protected Areas,Tree cover loss,hectares
1,966029,MEX,,pra,24,30,Mexico,2015,11298.67548,,Protected Areas,Tree cover loss,hectares
1,966035,MEX,,pra,24,30,Mexico,2016,15631.51252,,Protected Areas,Tree cover loss,hectares
1,990850,MEX,,mnc,16,10,Mexico,2001,6286.170825,,Mining Concessions,Tree cover loss,hectares
1,990855,MEX,,mnc,16,10,Mexico,2002,3924.239976,,Mining Concessions,Tree cover loss,hectares
1,990861,MEX,,mnc,16,10,Mexico,2003,3119.735241,,Mining Concessions,Tree cover loss,hectares
1,990867,MEX,,mnc,16,10,Mexico,2004,3812.074341,,Mining Concessions,Tree cover loss,hectares
1,990873,MEX,,mnc,16,10,Mexico,2005,7485.309201,,Mining Concessions,Tree cover loss,hectares
1,990879,MEX,,mnc,16,10,Mexico,2006,3954.295413,,Mining Concessions,Tree cover loss,hectares
1,990885,MEX,,mnc,16,10,Mexico,2007,4815.889583,,Mining Concessions,Tree cover loss,hectares
1,990891,MEX,,mnc,16,10,Mexico,2008,4866.605107,,Mining Concessions,Tree cover loss,hectares
1,990897,MEX,,mnc,16,10,Mexico,2009,5114.737843,,Mining Concessions,Tree cover loss,hectares
1,990903,MEX,,mnc,16,10,Mexico,2010,6764.834594,,Mining Concessions,Tree cover loss,hectares
1,990909,MEX,,mnc,16,10,Mexico,2011,4750.121584,,Mining Concessions,Tree cover loss,hectares
1,990915,MEX,,mnc,16,10,Mexico,2012,7712.445825,,Mining Concessions,Tree cover loss,hectares
1,990921,MEX,,mnc,16,10,Mexico,2013,8509.250668,,Mining Concessions,Tree cover loss,hectares
1,990927,MEX,,mnc,16,10,Mexico,2014,5819.093749,,Mining Concessions,Tree cover loss,hectares
1,990932,MEX,,mnc,16,10,Mexico,2015,5162.451356,,Mining Concessions,Tree cover loss,hectares
1,990938,MEX,,mnc,16,10,Mexico,2016,7834.177339,,Mining Concessions,Tree cover loss,hectares
1,991229,MEX,,mnc,16,30,Mexico,2001,5908.234397,,Mining Concessions,Tree cover loss,hectares
1,991235,MEX,,mnc,16,30,Mexico,2002,3675.066088,,Mining Concessions,Tree cover loss,hectares
1,991240,MEX,,mnc,16,30,Mexico,2003,2891.687876,,Mining Concessions,Tree cover loss,hectares
1,991246,MEX,,mnc,16,30,Mexico,2004,3554.996185,,Mining Concessions,Tree cover loss,hectares
1,991252,MEX,,mnc,16,30,Mexico,2005,6999.764114,,Mining Concessions,Tree cover loss,hectares
1,991258,MEX,,mnc,16,30,Mexico,2006,3547.337681,,Mining Concessions,Tree cover loss,hectares
1,991264,MEX,,mnc,16,30,Mexico,2007,4508.724982,,Mining Concessions,Tree cover loss,hectares
1,991270,MEX,,mnc,16,30,Mexico,2008,4547.18235,,Mining Concessions,Tree cover loss,hectares
1,991276,MEX,,mnc,16,30,Mexico,2009,4718.027926,,Mining Concessions,Tree cover loss,hectares
1,991282,MEX,,mnc,16,30,Mexico,2010,6397.485358,,Mining Concessions,Tree cover loss,hectares
1,991288,MEX,,mnc,16,30,Mexico,2011,4529.409652,,Mining Concessions,Tree cover loss,hectares
1,991294,MEX,,mnc,16,30,Mexico,2012,7307.555798,,Mining Concessions,Tree cover loss,hectares
1,991300,MEX,,mnc,16,30,Mexico,2013,7752.679349,,Mining Concessions,Tree cover loss,hectares
1,991306,MEX,,mnc,16,30,Mexico,2014,5262.896837,,Mining Concessions,Tree cover loss,hectares
1,991312,MEX,,mnc,16,30,Mexico,2015,4660.513929,,Mining Concessions,Tree cover loss,hectares
1,991317,MEX,,mnc,16,30,Mexico,2016,7009.376781,,Mining Concessions,Tree cover loss,hectares
1,1000348,MEX,,ifl,28,30,Mexico,2001,235.736433,,Intact Forest Landscape,Tree cover loss,hectares
